library,library_version,renderer,workload_size,n_repeats,n_valid,median_render_ms,iqr_render_ms,median_update_ms,iqr_update_ms
Chart.js,4.4.8,canvas,100,10,10,18.000,16.700,16.350,0.600
Chart.js,4.4.8,canvas,1000,10,10,17.500,1.800,16.950,16.600
Chart.js,4.4.8,canvas,5000,10,10,42.400,4.900,39.800,7.900
Chart.js,4.4.8,canvas,10000,10,10,70.550,14.800,60.950,11.700
D3,7.9.0,svg,100,10,10,17.300,1.200,17.750,15.100
D3,7.9.0,svg,1000,10,10,18.250,15.000,17.900,13.000
D3,7.9.0,svg,5000,10,10,72.750,10.100,57.650,10.300
D3,7.9.0,svg,10000,10,10,138.600,26.600,117.700,19.200
ECharts,5.6.0,canvas,100,10,10,24.850,15.700,17.100,15.900
ECharts,5.6.0,canvas,1000,10,10,27.550,7.300,32.300,8.800
ECharts,5.6.0,canvas,5000,10,10,111.000,8.400,96.250,8.900
ECharts,5.6.0,canvas,10000,10,10,222.600,38.400,195.800,8.300
